/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.groupitemmetadataprovider.js: line 3, col 18, 'window' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-ui-1.8.16.custom.min.js: line 30, col 32, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-ui-1.8.16.custom.min.js: line 30, col 32, Too many errors. (4% scanned).

51 errors
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.formatters.js: line 26, col 15, Use '===' to compare with 'null'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.formatters.js: line 36, col 15, Use '===' to compare with 'null'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.formatters.js: line 14, col 18, 'window' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.formatters.js: line 60, col 4, 'jQuery' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.formatters.js: line 25, col 77, 'dataContext' is defined but never used.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.formatters.js: line 25, col 64, 'columnDef' is defined but never used.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.formatters.js: line 35, col 80, 'dataContext' is defined but never used.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.formatters.js: line 35, col 67, 'columnDef' is defined but never used.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.formatters.js: line 53, col 67, 'dataContext' is defined but never used.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.formatters.js: line 53, col 54, 'columnDef' is defined but never used.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.formatters.js: line 57, col 71, 'dataContext' is defined but never used.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.formatters.js: line 57, col 58, 'columnDef' is defined but never used.

12 errors
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.editors.js: line 73, col 30, Use '===' to compare with ''.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.editors.js: line 73, col 52, Use '===' to compare with 'null'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.editors.js: line 135, col 30, Use '===' to compare with ''.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.editors.js: line 135, col 52, Use '===' to compare with 'null'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.editors.js: line 170, col 30, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.editors.js: line 173, col 31, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.editors.js: line 227, col 30, Use '===' to compare with ''.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.editors.js: line 227, col 52, Use '===' to compare with 'null'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.editors.js: line 358, col 31, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.editors.js: line 365, col 9, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.editors.js: line 391, col 30, Use '===' to compare with ''.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.editors.js: line 391, col 52, Use '===' to compare with 'null'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.editors.js: line 476, col 42, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.editors.js: line 501, col 30, Use '===' to compare with ''.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.editors.js: line 501, col 52, Use '===' to compare with 'null'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.editors.js: line 10, col 18, 'window' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.editors.js: line 513, col 4, 'jQuery' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.editors.js: line 27, col 14, 'scope' is defined but never used.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.editors.js: line 96, col 14, 'scope' is defined but never used.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.editors.js: line 158, col 14, 'scope' is defined but never used.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.editors.js: line 243, col 14, 'scope' is defined but never used.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.editors.js: line 289, col 14, 'scope' is defined but never used.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.editors.js: line 339, col 14, 'scope' is defined but never used.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.editors.js: line 362, col 87, 'e' is defined but never used.

24 errors
